avg,unknown,
821.2292194826462,821.2292194826462,
817.8103909026412,817.8103909026412,
814.7705667415551,814.7705667415551,
812.0167543965413,812.0167543965413,
809.5183958737088,809.5183958737088,
807.2180415168646,807.2180415168646,
805.0703143148155,805.0703143148155,
629.3099776137244,629.3099776137244,
620.7824753108935,620.7824753108935,
612.8130911155052,612.8130911155052,
605.1926409615827,605.1926409615827,
597.8872493801003,597.8872493801003,
591.1076030031629,591.1076030031629,
584.187169589686,584.187169589686,
641.5871904359583,641.5871904359583,
637.0012143834194,637.0012143834194,
632.5820882954541,632.5820882954541,
628.342925507563,628.342925507563,
497.4105287839972,497.4105287839972,
477.6852957256185,477.6852957256185,
331.1132179279339,331.1132179279339,
244.41034920105426,244.41034920105426,
227.70676971093104,227.70676971093104,
224.81132075471692,224.81132075471692,
224.81132075471692,224.81132075471692,
224.81132075471692,224.81132075471692,
224.81132075471692,224.81132075471692,
427.7227722772276,427.7227722772276,
427.7227722772276,427.7227722772276,
427.722772277228,427.722772277228,
427.722772277228,427.722772277228,
427.7227722772276,427.7227722772276,
427.7227722772276,427.7227722772276,
427.7227722772276,427.7227722772276,
262.89473684210515,262.89473684210515,
262.89473684210515,262.89473684210515,
262.89473684210515,262.89473684210515,
262.89473684210515,262.89473684210515,
262.89473684210515,262.89473684210515,
262.89473684210515,262.89473684210515,
262.89473684210515,262.89473684210515,
275.52083333333314,275.52083333333314,
275.52083333333314,275.52083333333314,
275.52083333333314,275.52083333333314,
275.52083333333314,275.52083333333314,
275.52083333333314,275.52083333333314,
275.52083333333314,275.52083333333314,
157.2340425531916,157.2340425531916,
157.2340425531916,157.2340425531916,
157.2340425531916,157.2340425531916,
157.2340425531916,157.2340425531916,
157.2340425531916,157.2340425531916,
157.2340425531916,157.2340425531916,
157.2340425531916,157.2340425531916,
191.7307692307692,191.7307692307692,
191.7307692307692,191.7307692307692,
191.7307692307692,191.7307692307692,
191.7307692307692,191.7307692307692,
191.7307692307692,191.7307692307692,
191.7307692307692,191.7307692307692,
191.7307692307692,191.7307692307692,
175.0,175.0,
175.0,175.0,
175.0,175.0,
175.0,175.0,
175.0,175.0,
175.0,175.0,
175.0,175.0,
216.26903553299496,216.26903553299496,
216.26903553299496,216.26903553299496,
216.26903553299496,216.26903553299496,
216.26903553299496,216.26903553299496,
216.26903553299496,216.26903553299496,
216.26903553299496,216.26903553299496,
216.26903553299496,216.26903553299496,
150.49999999999994,150.49999999999994,
150.49999999999994,150.49999999999994,
150.49999999999994,150.49999999999994,
150.49999999999994,150.49999999999994,
150.49999999999994,150.49999999999994,
150.49999999999994,150.49999999999994,
141.37499999999991,141.37499999999991,
141.37499999999991,141.37499999999991,
141.37499999999991,141.37499999999991,
141.37499999999991,141.37499999999991,
141.37499999999991,141.37499999999991,
141.37499999999991,141.37499999999991,
141.37499999999991,141.37499999999991,
110.27777777777762,110.27777777777762,
110.27777777777762,110.27777777777762,
110.27777777777762,110.27777777777762,
110.27777777777762,110.27777777777762,
110.27777777777762,110.27777777777762,
110.27777777777762,110.27777777777762,
110.27777777777762,110.27777777777762,
150.19801980198014,150.19801980198014,
150.19801980198014,150.19801980198014,
150.19801980198014,150.19801980198014,
150.19801980198014,150.19801980198014,
150.19801980198014,150.19801980198014,
150.19801980198014,150.19801980198014,
150.19801980198014,150.19801980198014,
329.5773129790057,329.5773129790057,
325.7643119590626,325.7643119590626,
321.74537864258156,321.74537864258156,
317.86669668752046,317.86669668752046,
314.4691974849942,314.4691974849942,
311.13313229289844,311.13313229289844,
307.8156871433272,307.8156871433272,
212.1825166887272,212.1825166887272,
210.41067114040135,210.41067114040135,
208.70654160036287,208.70654160036287,
207.12459421063147,207.12459421063147,
205.5152171940686,205.5152171940686,
203.87041088689264,203.87041088689264,
202.4648421833216,202.4648421833216,
209.47286753795692,209.47286753795692,
208.24518307799048,208.24518307799048,
207.10951027691513,207.10951027691513,
206.01086744576043,206.01086744576043,
204.94352747415746,204.94352747415746,
169.9489795918367,169.9489795918367,
169.9489795918367,169.9489795918367,
197.57575757575762,197.57575757575762,
197.57575757575762,197.57575757575762,
197.57575757575762,197.57575757575762,
197.57575757575762,197.57575757575762,
197.57575757575762,197.57575757575762,
197.57575757575762,197.57575757575762,
199.027777777778,199.027777777778,
225.97457627118695,225.97457627118695,
225.97457627118695,225.97457627118695,
225.97457627118695,225.97457627118695,
225.97457627118695,225.97457627118695,
225.97457627118695,225.97457627118695,
225.97457627118695,225.97457627118695,
253.8793103448275,253.8793103448275,
312.87878787878856,312.87878787878856,
312.87878787878856,312.87878787878856,
312.87878787878856,312.87878787878856,
312.87878787878856,312.87878787878856,
312.87878787878856,312.87878787878856,
312.87878787878856,312.87878787878856,
277.08333333333354,277.08333333333354,
277.08333333333354,277.08333333333354,
277.08333333333354,277.08333333333354,
277.08333333333354,277.08333333333354,
277.08333333333354,277.08333333333354,
277.08333333333354,277.08333333333354,
277.08333333333354,277.08333333333354,
282.6612903225799,282.6612903225799,
282.6612903225799,282.6612903225799,
282.6612903225799,282.6612903225799,
282.6612903225799,282.6612903225799,
282.6612903225799,282.6612903225799,
282.6612903225799,282.6612903225799,
282.6612903225799,282.6612903225799,
207.04000000000002,207.04000000000002,
207.04000000000002,207.04000000000002,
207.04000000000002,207.04000000000002,
207.04000000000002,207.04000000000002,
207.04000000000002,207.04000000000002,
207.04000000000002,207.04000000000002,
207.04000000000002,207.04000000000002,
105.31250000000031,105.31250000000031,
105.31250000000031,105.31250000000031,
105.31250000000031,105.31250000000031,
105.31250000000031,105.31250000000031,
105.31250000000031,105.31250000000031,
105.31250000000031,105.31250000000031,
105.31250000000031,105.31250000000031,
98.23529411764709,98.23529411764709,
98.23529411764709,98.23529411764709,
98.23529411764709,98.23529411764709,
98.23529411764709,98.23529411764709,
98.23529411764709,98.23529411764709,
98.23529411764709,98.23529411764709,
92.88888888888889,92.88888888888889,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
4696.428571428572,4696.428571428572,
4696.428571428572,4696.428571428572,
4696.428571428572,4696.428571428572,
4696.428571428572,4696.428571428572,
4696.428571428572,4696.428571428572,
4696.428571428572,4696.428571428572,
4696.428571428572,4696.428571428572,
4158.974358974358,4158.974358974358,
4158.974358974358,4158.974358974358,
4158.974358974359,4158.974358974359,
4158.974358974358,4158.974358974358,
4158.974358974358,4158.974358974358,
4158.974358974358,4158.974358974358,
3301.507537688441,3301.507537688441,
3301.507537688441,3301.507537688441,
3301.507537688441,3301.507537688441,
3301.507537688441,3301.507537688441,
3301.507537688441,3301.507537688441,
3301.507537688441,3301.507537688441,
3301.507537688441,3301.507537688441,
2483.3136094674555,2483.3136094674555,
2483.3136094674555,2483.3136094674555,
2483.3136094674555,2483.3136094674555,
2483.3136094674555,2483.3136094674555,
2483.3136094674555,2483.3136094674555,
2483.3136094674555,2483.3136094674555,
2483.3136094674555,2483.3136094674555,
2402.6654411764703,2402.6654411764703,
2402.6654411764703,2402.6654411764703,
2402.6654411764703,2402.6654411764703,
2402.6654411764703,2402.6654411764703,
2402.6654411764703,2402.6654411764703,
2402.6654411764703,2402.6654411764703,
2402.6654411764703,2402.6654411764703,
2313.4399308556613,2313.4399308556613,
2313.4399308556613,2313.4399308556613,
2313.4399308556613,2313.4399308556613,
2313.4399308556613,2313.4399308556613,
2313.4399308556613,2313.4399308556613,
2313.4399308556613,2313.4399308556613,
2313.4399308556613,2313.4399308556613,
2211.420204978038,2211.420204978038,
2211.420204978038,2211.420204978038,
2211.420204978038,2211.420204978038,
2211.420204978038,2211.420204978038,
2211.420204978038,2211.420204978038,
2211.420204978038,2211.420204978038,
2211.420204978038,2211.420204978038,
1067.598684210529,1067.598684210529,
1067.598684210529,1067.598684210529,
1067.598684210529,1067.598684210529,
1067.598684210529,1067.598684210529,
1067.598684210529,1067.598684210529,
1067.598684210529,1067.598684210529,
1332.7692307692296,1332.7692307692296,
1332.7692307692296,1332.7692307692296,
1332.7692307692296,1332.7692307692296,
1264.0685670886428,1264.0685670886428,
1255.9286663912,1255.9286663912,
1248.2536502039425,1248.2536502039425,
1240.6331174948887,1240.6331174948887,
878.432484012687,878.432484012687,
879.9009692515065,879.9009692515065,
881.3108905210199,881.3108905210199,
861.2498500225273,861.2498500225273,
861.5399660423523,861.5399660423523,
861.8341837827247,861.8341837827247,
862.1071167244836,862.1071167244836,
954.2464493766372,954.2464493766372,
952.8752389726205,952.8752389726205,
951.5267743752972,951.5267743752972,
976.1447215591111,976.1447215591111,
975.7372765155304,975.7372765155304,
975.3406002291435,975.3406002291435,
974.9552490279797,974.9552490279797,
924.2396369857869,924.2396369857869,
924.8491176255727,924.8491176255727,
927.4836206745542,927.4836206745542,
892.4889543446241,892.4889543446241,
892.4889543446241,892.4889543446241,
892.4889543446241,892.4889543446241,
892.4889543446241,892.4889543446241,
918.2517482517483,918.2517482517483,
918.2517482517483,918.2517482517483,
937.4145006839946,937.4145006839946,
937.4145006839946,937.4145006839946,
937.4145006839946,937.4145006839946,
937.4145006839946,937.4145006839946,
916.0268973868108,916.0268973868108,
869.4734969812372,869.4734969812372,
867.0076454764264,867.0076454764264,
783.6735624635144,783.6735624635144,
781.2850886649121,781.2850886649121,
779.0151256467408,779.0151256467408,
776.7806556409791,776.7806556409791,
808.0970959122017,808.0970959122017,
809.5998375494167,809.5998375494167,
809.430387218262,809.430387218262,
862.1126611982897,862.1126611982897,
861.3742347538443,861.3742347538443,
860.7133190221177,860.7133190221177,
868.8996312722038,868.8996312722038,
809.3932864768716,809.3932864768716,
804.7467119268414,804.7467119268414,
800.1394897219868,800.1394897219868,
687.9072431112199,687.9072431112199,
684.3366130955673,684.3366130955673,
667.930296409177,667.930296409177,
680.0539643005402,680.0539643005402,
667.5844516427578,667.5844516427578,
667.5844516427586,667.5844516427586,
667.5844516427586,667.5844516427586,
688.7727879057363,688.7727879057363,
688.7727879057363,688.7727879057363,
688.7727879057363,688.7727879057363,
688.7727879057363,688.7727879057363,
472.88218835828536,472.88218835828536,
472.88218835828536,472.88218835828536,
472.8821883582858,472.8821883582858,
413.8171085578089,413.8171085578089,
389.8182936043717,389.8182936043717,
388.772212472586,388.772212472586,
389.64399326962274,389.64399326962274,
332.33024691358014,332.33024691358014,
332.33024691358014,332.33024691358014,
332.33024691358014,332.33024691358014,
328.0769230769233,328.0769230769233,
328.0769230769233,328.0769230769233,
328.0769230769233,328.0769230769233,
328.0769230769233,328.0769230769233,
239.35557240333594,239.35557240333594,
239.35557240333594,239.35557240333594,
239.35557240333594,239.35557240333594,
232.36923076923074,232.36923076923074,
