Unnamed: 0,count
72.0,33.125
72.025,34.925
72.05,34.5
72.075,34.675
72.1,35.775
72.125,36.9
72.15,37.325
72.175,34.65
72.2,35.05
72.225,36.15
72.25,33.325
72.275,34.725
72.3,34.725
72.325,34.925
72.35,33.975
72.375,34.825
72.4,33.425
72.425,35.4
72.45,36.575
72.475,34.875
72.5,34.825
72.525,34.35
72.55,35.45
72.575,35.575
72.6,36.15
72.625,35.85
72.65,36.05
72.675,34.35
72.7,35.625
72.725,38.625
72.75,35.4
72.775,33.175
72.8,36.525
72.825,34.35
72.85,38.25
72.875,37.55
72.9,33.0
72.925,37.175
72.95,37.975
72.975,36.95
73.0,37.875
73.025,33.425
73.05,32.1
73.075,35.45
73.1,37.65
73.125,38.175
73.15,37.125
73.175,38.175
73.2,34.925
73.225,36.7
73.25,38.25
73.275,35.775
73.3,36.525
73.325,34.35
73.35,36.8
73.375,35.825
73.4,34.125
73.425,33.7
73.45,37.075
73.475,33.975
73.5,36.75
73.525,36.525
73.55,36.2
73.575,37.55
73.6,36.325
73.625,33.6
73.65,36.625
73.675,36.75
73.7,35.625
73.725,35.1
73.75,36.15
73.775,37.5
73.8,39.1
73.825,36.375
73.85,36.25
73.875,35.45
73.9,37.45
73.925,32.95
73.95,35.775
73.975,36.15
74.0,39.4
74.025,36.7
74.05,36.8
74.075,37.65
74.1,35.775
74.125,37.875
74.15,35.3
74.175,35.575
74.2,36.75
74.225,39.25
74.25,40.8
74.275,36.05
74.3,36.575
74.325,38.25
74.35,35.4
74.375,41.325
74.4,38.625
74.425,38.125
74.45,36.2
74.475,38.55
74.5,35.4
74.525,37.175
74.55,37.275
74.575,37.55
74.6,37.7
74.625,37.175
74.65,36.8
74.675,37.875
74.7,37.55
74.725,33.875
74.75,38.25
74.775,36.9
74.8,36.9
74.825,36.575
74.85,36.8
74.875,36.7
74.9,36.575
74.925,36.325
74.95,36.8
74.975,35.3
75.0,38.175
75.025,39.3
75.05,37.75
75.075,38.35
75.1,32.375
75.125,38.875
75.15,35.025
75.175,36.575
75.2,36.575
75.225,37.975
75.25,35.25
75.275,38.125
75.3,35.45
75.325,36.325
75.35,35.85
75.375,38.125
75.4,35.45
75.425,34.5
75.45,35.95
75.475,34.35
75.5,39.475
75.525,37.175
75.55,36.575
75.575,37.175
75.6,38.125
75.625,38.925
75.65,39.05
75.675,35.1
75.7,39.2
75.725,37.325
75.75,39.3
75.775,36.95
75.8,35.475
75.825,35.025
75.85,35.575
75.875,40.575
75.9,38.45
75.925,37.975
75.95,37.5
75.975,35.45
76.0,35.85
76.025,37.175
76.05,34.825
76.075,40.95
76.1,36.325
76.125,39.625
76.15,36.525
76.175,37.875
76.2,36.8
76.225,33.5
76.25,39.475
76.275,36.05
76.3,35.675
76.325,35.2
76.35,34.3
76.375,39.675
76.4,35.95
76.425,34.875
76.45,35.775
76.475,33.325
76.5,37.0
76.525,34.35
76.55,36.9
76.575,36.15
76.6,34.725
76.625,36.15
76.65,31.825
76.675,35.3
76.7,32.275
76.725,36.0
76.75,37.375
76.775,33.175
76.8,35.4
76.825,36.75
76.85,34.65
76.875,37.8
76.9,38.625
76.925,35.85
76.95,34.35
76.975,35.775
77.0,37.0
77.025,34.25
77.05,34.125
77.075,32.95
77.1,32.475
77.125,35.25
77.15,34.725
77.175,35.05
77.2,36.15
77.225,36.0
77.25,34.35
77.275,34.825
77.3,33.375
77.325,35.05
77.35,36.75
77.375,32.625
77.4,32.85
77.425,34.3
77.45,32.75
77.475,31.825
77.5,35.675
77.525,37.975
77.55,36.525
77.575,33.975
77.6,34.55
77.625,37.55
77.65,35.05
77.675,33.75
77.7,33.925
77.725,34.125
77.75,34.175
77.775,33.7
77.8,31.875
77.825,30.35
77.85,32.575
77.875,32.575
77.9,34.875
77.925,33.325
77.95,33.75
77.975,35.825
78.0,35.05
78.025,35.575
78.05,31.2
78.075,35.3
78.1,34.725
78.125,37.275
78.15,36.525
78.175,34.55
78.2,33.975
78.225,33.325
78.25,36.8
78.275,34.825
78.3,33.325
78.325,37.55
78.35,34.675
78.375,35.45
78.4,35.575
78.425,34.825
78.45,34.875
78.475,34.125
78.5,34.675
78.525,36.425
78.55,34.3
78.575,32.625
78.6,32.625
78.625,36.8
78.65,33.8
78.675,35.675
78.7,37.175
78.725,34.5
78.75,35.775
78.775,32.95
78.8,32.475
78.825,33.325
78.85,30.825
78.875,35.05
78.9,34.925
78.925,33.6
78.95,33.975
78.975,32.95
79.0,35.675
79.025,33.325
79.05,32.375
79.075,36.15
79.1,31.625
79.125,33.6
79.15,34.35
79.175,30.825
79.2,31.45
79.225,33.6
79.25,35.675
79.275,30.825
79.3,31.525
79.325,31.075
79.35,30.925
79.375,32.65
79.4,34.35
79.425,30.65
79.45,32.1
79.475,32.75
79.5,34.3
79.525,33.5
79.55,32.95
79.575,33.325
79.6,33.975
79.625,34.65
79.65,32.25
79.675,32.375
79.7,31.825
79.725,30.65
79.75,33.05
79.775,32.95
79.8,33.6
79.825,33.125
79.85,32.95
79.875,34.825
79.9,31.2
79.925,33.325
79.95,33.8
79.975,33.05
80.0,34.675
80.025,33.325
80.05,31.725
80.075,31.875
80.1,34.675
80.125,31.475
80.15,31.9
80.175,30.35
80.2,33.7
80.225,32.625
80.25,35.475
80.275,31.1
80.3,30.45
80.325,32.625
80.35,30.675
80.375,32.1
80.4,30.35
80.425,31.3
80.45,32.575
80.475,29.75
80.5,36.625
80.525,29.375
80.55,31.475
80.575,32.575
80.6,28.25
80.625,31.475
80.65,31.625
80.675,29.925
80.7,34.725
80.725,33.75
80.75,33.55
80.775,28.95
80.8,32.575
80.825,34.725
80.85,30.45
80.875,35.05
80.9,32.85
80.925,31.875
80.95,32.575
80.975,29.375
81.0,33.375
81.025,31.1
81.05,30.125
81.075,31.45
81.1,32.25
81.125,32.275
81.15,32.575
81.175,32.2
81.2,31.1
81.225,29.125
81.25,32.8
81.275,31.2
81.3,26.775
81.325,29.05
81.35,30.825
81.375,29.225
81.4,29.75
81.425,29.05
81.45,33.225
81.475,31.525
81.5,31.075
81.525,31.25
81.55,30.875
81.575,28.95
81.6,29.175
81.625,33.05
81.65,29.225
81.675,29.6
81.7,27.25
81.725,29.05
81.75,31.9
81.775,29.7
81.8,33.175
81.825,29.225
81.85,30.925
81.875,30.925
81.9,32.0
81.925,28.375
81.95,30.125
81.975,29.225
82.0,30.075
82.025,30.65
82.05,30.125
82.075,31.3
82.1,29.225
82.125,31.2
82.15,31.025
82.175,32.575
82.2,28.475
82.225,27.625
82.25,30.875
82.275,29.875
82.3,30.275
82.325,27.675
82.35,30.825
82.375,28.8
82.4,26.55
82.425,28.475
82.45,30.275
82.475,29.75
82.5,30.125
82.525,31.9
82.55,29.875
82.575,26.175
82.6,29.75
82.625,30.65
82.65,29.125
82.675,27.075
82.7,28.375
82.725,27.45
82.75,30.075
82.775,27.5
82.8,26.925
82.825,26.925
82.85,26.175
82.875,31.025
82.9,26.925
82.925,26.55
82.95,26.975
82.975,28.25
83.0,28.8
83.025,26.35
83.05,29.425
83.075,27.15
83.1,28.75
83.125,28.675
83.15,29.5
83.175,28.475
83.2,29.75
83.225,30.075
83.25,24.8
83.275,26.7
83.3,29.925
83.325,28.675
83.35,28.0
83.375,28.425
83.4,29.225
83.425,30.675
83.45,27.9
83.475,28.25
83.5,29.7
83.525,28.675
83.55,26.6
83.575,26.35
83.6,27.525
83.625,28.1
83.65,30.45
83.675,25.75
83.7,29.75
83.725,28.0
83.75,29.8
83.775,26.175
83.8,28.0
83.825,29.975
83.85,28.0
83.875,29.7
83.9,26.175
83.925,25.375
83.95,27.725
83.975,29.75
84.0,27.45
84.025,25.75
84.05,28.0
84.075,26.725
84.1,29.6
84.125,26.55
84.15,26.3
84.175,24.75
84.2,28.625
84.225,31.1
84.25,27.45
84.275,27.9
84.3,29.325
84.325,30.35
84.35,25.225
84.375,26.725
84.4,26.925
84.425,26.7
84.45,29.175
84.475,24.8
84.5,26.4
84.525,26.025
84.55,25.375
84.575,28.575
84.6,27.35
84.625,25.275
84.65,27.875
84.675,25.425
84.7,30.55
84.725,25.65
84.75,26.6
84.775,29.425
84.8,28.75
84.825,26.175
84.85,25.225
84.875,27.15
84.9,25.6
84.925,24.8
84.95,27.25
84.975,26.125
85.0,29.7
85.025,29.375
85.05,27.15
85.075,28.85
85.1,26.925
85.125,26.175
85.15,25.0
85.175,24.95
85.2,27.625
85.225,27.25
85.25,27.625
85.275,25.05
85.3,25.475
85.325,26.775
85.35,25.55
85.375,26.175
85.4,25.125
85.425,22.925
85.45,27.725
85.475,25.375
85.5,25.85
85.525,25.0
85.55,25.925
85.575,25.85
85.6,27.625
85.625,24.85
85.65,24.475
85.675,24.8
85.7,26.125
85.725,24.0
85.75,27.875
85.775,25.125
85.8,24.8
85.825,24.85
85.85,21.6
85.875,25.975
85.9,28.75
85.925,25.275
85.95,24.95
85.975,24.75
86.0,25.05
86.025,23.875
86.05,24.475
86.075,25.475
86.1,24.425
86.125,26.925
86.15,23.075
86.175,21.425
86.2,25.55
86.225,23.825
86.25,29.7
86.275,24.85
86.3,23.15
86.325,28.2
86.35,24.375
86.375,27.625
86.4,25.125
86.425,24.425
86.45,26.7
86.475,24.375
86.5,25.975
86.525,28.85
86.55,25.85
86.575,24.8
86.6,25.6
86.625,26.975
86.65,25.375
86.675,23.25
86.7,24.8
86.725,23.45
86.75,26.55
86.775,28.1
86.8,24.2
86.825,28.05
86.85,22.325
86.875,25.275
86.9,24.25
86.925,24.05
86.95,27.25
86.975,28.0
87.0,24.85
87.025,24.675
87.05,25.425
87.075,26.925
87.1,26.875
87.125,24.8
87.15,24.75
87.175,25.125
87.2,25.8
87.225,25.0
87.25,26.55
87.275,22.725
87.3,24.8
87.325,22.5
87.35,22.5
87.375,26.6
87.4,21.275
87.425,22.325
87.45,25.975
87.475,25.85
87.5,25.125
87.525,23.825
87.55,22.325
87.575,25.6
87.6,25.55
87.625,23.15
87.65,23.5
87.675,24.85
87.7,26.775
87.725,22.725
87.75,23.45
87.775,22.725
87.8,24.85
87.825,27.35
87.85,25.05
87.875,23.35
87.9,25.0
87.925,25.65
87.95,26.4
87.975,25.125
88.0,24.75
88.025,24.8
88.05,25.05
88.075,24.475
88.1,22.7
88.125,25.55
88.15,24.25
88.175,26.4
88.2,24.95
88.225,24.05
88.25,26.775
88.275,27.35
88.3,25.125
88.325,22.225
88.35,25.225
88.375,28.05
88.4,24.3
88.425,26.125
88.45,26.225
88.475,22.35
88.5,24.8
88.525,23.25
88.55,24.1
88.575,25.05
88.6,24.625
88.625,23.825
88.65,22.975
88.675,23.825
88.7,22.7
88.725,21.925
88.75,24.3
88.775,22.55
88.8,23.15
88.825,26.6
88.85,23.3
88.875,24.1
88.9,23.725
88.925,25.8
88.95,23.825
88.975,24.425
89.0,26.775
89.025,23.675
89.05,29.7
89.075,22.925
89.1,23.45
89.125,20.15
89.15,21.425
89.175,23.625
89.2,23.525
89.225,20.325
89.25,22.725
89.275,24.425
89.3,24.625
89.325,20.85
89.35,21.65
89.375,24.625
89.4,24.8
89.425,22.7
89.45,20.15
89.475,22.5
89.5,25.05
89.525,21.85
89.55,21.925
89.575,23.825
89.6,22.325
89.625,22.975
89.65,23.125
89.675,26.5
89.7,23.3
89.725,25.925
89.75,22.7
89.775,22.7
89.8,21.475
89.825,22.55
89.85,20.8
89.875,20.9
89.9,23.725
89.925,22.4
89.95,22.925
89.975,22.55
0.0,27.15
0.025,30.125
0.05,29.05
0.075,29.75
0.1,25.65
0.125,33.7
0.15,28.475
0.175,26.175
0.2,30.3
0.225,27.15
0.25,27.35
0.275,29.225
0.3,28.625
0.325,31.1
0.35,26.5
0.375,25.975
0.4,26.025
0.425,25.125
0.45,29.375
0.475,24.425
0.5,29.75
0.525,26.925
0.55,26.4
0.575,25.925
0.6,24.25
0.625,26.925
0.65,28.575
0.675,24.95
0.7,29.6
0.725,28.05
0.75,28.75
0.775,26.7
0.8,29.0
0.825,27.35
0.85,26.6
0.875,27.15
0.9,30.825
0.925,30.725
0.95,31.875
0.975,29.6
1.0,29.325
1.025,28.675
1.05,26.175
1.075,29.0
1.1,25.225
1.125,25.65
1.15,27.075
1.175,26.35
1.2,31.475
1.225,27.625
1.25,30.45
1.275,27.075
1.3,25.85
1.325,25.425
1.35,24.8
1.375,25.0
1.4,25.85
1.425,27.825
1.45,29.75
1.475,24.3
1.5,25.85
1.525,28.95
1.55,28.05
1.575,29.175
1.6,30.075
1.625,30.875
1.65,27.875
1.675,26.55
1.7,27.875
1.725,27.725
1.75,27.675
1.775,26.975
1.8,27.45
1.825,29.8
1.85,25.75
1.875,28.75
1.9,28.2
1.925,29.125
1.95,26.925
1.975,28.0
2.0,29.375
2.025,30.075
2.05,27.25
2.075,27.35
2.1,26.55
2.125,29.05
2.15,27.625
2.175,27.075
2.2,27.25
2.225,27.625
2.25,30.5
2.275,27.15
2.3,24.95
2.325,28.0
2.35,27.15
2.375,29.375
2.4,26.4
2.425,27.25
2.45,27.45
2.475,28.675
2.5,30.725
2.525,30.3
2.55,28.675
2.575,28.1
2.6,25.65
2.625,29.7
2.65,27.875
2.675,27.1
2.7,28.375
2.725,27.25
2.75,28.425
2.775,29.125
2.8,30.3
2.825,28.05
2.85,28.425
2.875,30.45
2.9,28.8
2.925,27.5
2.95,29.125
2.975,27.25
3.0,28.275
3.025,29.6
3.05,27.1
3.075,30.075
3.1,29.5
3.125,29.6
3.15,28.2
3.175,32.25
3.2,28.2
3.225,31.1
3.25,28.8
3.275,29.175
3.3,26.925
3.325,30.125
3.35,30.65
3.375,27.45
3.4,28.675
3.425,27.25
3.45,25.275
3.475,27.875
3.5,27.875
3.525,27.525
3.55,27.3
3.575,28.675
3.6,27.075
3.625,26.725
3.65,26.925
3.675,25.425
3.7,30.45
3.725,26.725
3.75,29.925
3.775,28.425
3.8,27.725
3.825,27.525
3.85,27.825
3.875,34.65
3.9,28.05
3.925,28.675
3.95,26.6
3.975,28.05
4.0,30.35
4.025,30.65
4.05,26.35
4.075,30.45
4.1,29.125
4.125,28.675
4.15,29.75
4.175,25.05
4.2,27.625
4.225,24.75
4.25,27.625
4.275,29.0
4.3,25.175
4.325,26.55
4.35,30.275
4.375,30.825
4.4,29.975
4.425,26.55
4.45,29.375
4.475,28.0
4.5,27.625
4.525,30.3
4.55,24.475
4.575,29.225
4.6,27.875
4.625,27.3
4.65,29.05
4.675,26.55
4.7,29.875
4.725,29.125
4.75,27.875
4.775,27.9
4.8,28.575
4.825,31.3
4.85,25.475
4.875,27.525
4.9,29.225
4.925,29.05
4.95,27.825
4.975,27.825
5.0,29.125
5.025,34.925
5.05,29.375
5.075,29.8
5.1,34.5
5.125,28.05
5.15,27.25
5.175,28.95
5.2,24.575
5.225,25.65
5.25,26.875
5.275,28.8
5.3,28.05
5.325,27.725
5.35,27.075
5.375,27.075
5.4,29.175
5.425,26.5
5.45,31.825
5.475,28.375
5.5,29.05
5.525,28.375
5.55,26.925
5.575,28.8
5.6,29.05
5.625,28.675
5.65,32.575
5.675,27.875
5.7,29.975
5.725,25.975
5.75,26.225
5.775,26.4
5.8,24.425
5.825,28.85
5.85,27.625
5.875,25.125
5.9,29.75
5.925,26.125
5.95,27.5
5.975,25.375
6.0,25.175
6.025,30.725
6.05,23.9
6.075,25.65
6.1,26.975
6.125,27.9
6.15,31.475
6.175,30.35
6.2,29.425
6.225,29.225
6.25,28.85
6.275,32.375
6.3,30.275
6.325,32.1
6.35,29.925
6.375,32.05
6.4,29.925
6.425,28.8
6.45,28.85
6.475,30.275
6.5,29.75
6.525,30.675
6.55,29.8
6.575,30.35
6.6,29.55
6.625,33.75
6.65,31.9
6.675,27.9
6.7,28.625
6.725,28.275
6.75,28.75
6.775,25.275
6.8,26.6
6.825,28.2
6.85,28.375
6.875,30.275
6.9,29.375
6.925,28.85
6.95,27.25
6.975,25.85
7.0,29.225
7.025,25.8
7.05,29.225
7.075,30.45
7.1,31.9
7.125,31.675
7.15,32.1
7.175,32.25
7.2,32.0
7.225,30.875
7.25,30.45
7.275,28.75
7.3,30.075
7.325,32.275
7.35,29.225
7.375,30.075
7.4,30.825
7.425,29.875
7.45,28.475
7.475,29.8
7.5,29.325
7.525,28.25
7.55,28.0
7.575,31.9
7.6,29.7
7.625,36.625
7.65,31.025
7.675,28.8
7.7,29.05
7.725,32.0
7.75,29.75
7.775,29.125
7.8,31.825
7.825,30.675
7.85,29.325
7.875,31.825
7.9,28.675
7.925,29.175
7.95,32.25
7.975,29.925
8.0,32.85
8.025,31.25
8.05,29.375
8.075,29.0
8.1,28.85
8.125,29.05
8.15,29.5
8.175,27.45
8.2,31.2
8.225,26.925
8.25,30.875
8.275,27.075
8.3,28.375
8.325,35.25
8.35,29.975
8.375,29.75
8.4,31.625
8.425,32.25
8.45,30.45
8.475,28.375
8.5,29.5
8.525,29.05
8.55,30.875
8.575,33.325
8.6,28.275
8.625,33.325
8.65,31.525
8.675,30.45
8.7,33.8
8.725,27.725
8.75,27.875
8.775,26.925
8.8,27.625
8.825,29.975
8.85,29.125
8.875,30.125
8.9,31.2
8.925,27.15
8.95,28.675
8.975,28.05
9.0,32.575
9.025,28.95
9.05,27.725
9.075,28.0
9.1,28.625
9.125,28.95
9.15,30.35
9.175,29.125
9.2,29.5
9.225,28.475
9.25,30.925
9.275,27.5
9.3,26.925
9.325,29.225
9.35,30.075
9.375,30.675
9.4,33.375
9.425,30.5
9.45,31.625
9.475,28.625
9.5,33.375
9.525,31.2
9.55,30.5
9.575,31.875
9.6,31.45
9.625,32.25
9.65,30.275
9.675,28.75
9.7,32.575
9.725,27.875
9.75,29.925
9.775,25.475
9.8,26.725
9.825,28.8
9.85,29.75
9.875,29.325
9.9,26.175
9.925,26.55
9.95,27.725
9.975,28.2
10.0,31.3
10.025,28.05
10.05,25.8
10.075,28.275
10.1,28.85
10.125,33.375
10.15,30.175
10.175,27.45
10.2,31.625
10.225,29.175
10.25,30.725
10.275,28.675
10.3,27.3
10.325,26.7
10.35,28.375
10.375,29.75
10.4,27.9
10.425,26.35
10.45,27.875
10.475,29.05
10.5,29.325
10.525,30.075
10.55,26.175
10.575,26.725
10.6,26.175
10.625,26.025
10.65,29.125
10.675,28.275
10.7,26.875
10.725,28.2
10.75,32.25
10.775,27.1
10.8,28.85
10.825,27.35
10.85,26.55
10.875,32.625
10.9,25.375
10.925,29.125
10.95,29.325
10.975,26.55
11.0,27.25
11.025,25.85
11.05,24.85
11.075,30.275
11.1,25.75
11.125,28.0
11.15,26.6
11.175,24.675
11.2,25.125
11.225,27.35
11.25,28.05
11.275,30.3
11.3,27.625
11.325,27.9
11.35,28.1
11.375,36.625
11.4,30.125
11.425,28.2
11.45,29.225
11.475,29.75
11.5,29.55
11.525,25.65
11.55,25.75
11.575,31.1
11.6,31.075
11.625,26.5
11.65,26.025
11.675,28.95
11.7,28.275
11.725,24.85
11.75,24.675
11.775,25.85
11.8,27.45
11.825,26.175
11.85,27.15
11.875,28.675
11.9,28.575
11.925,27.25
11.95,31.075
11.975,27.25
12.0,26.975
12.025,23.525
12.05,26.725
12.075,27.825
12.1,27.3
12.125,26.5
12.15,26.3
12.175,28.0
12.2,29.8
12.225,29.125
12.25,29.325
12.275,24.75
12.3,26.5
12.325,26.725
12.35,28.675
12.375,25.125
